Open Time,BTCUSDT_Close,BTCUSDT_Volume,ETHUSDT_Close,ETHUSDT_Volume,XRPUSDT_Close,XRPUSDT_Volume,SOLUSDT_Close,SOLUSDT_Volume,BNBUSDT_Close,BNBUSDT_Volume,USDCUSDT_Close,USDCUSDT_Volume,DOGEUSDT_Close,DOGEUSDT_Volume,ADAUSDT_Close,ADAUSDT_Volume,TRXUSDT_Close,TRXUSDT_Volume,LINKUSDT_Close,LINKUSDT_Volume,AVAXUSDT_Close,AVAXUSDT_Volume,SUIUSDT_Close,SUIUSDT_Volume,XLMUSDT_Close,XLMUSDT_Volume,TONUSDT_Close,TONUSDT_Volume,SHIBUSDT_Close,SHIBUSDT_Volume,LTCUSDT_Close,LTCUSDT_Volume,HBARUSDT_Close,HBARUSDT_Volume,DOTUSDT_Close,DOTUSDT_Volume,BCHUSDT_Close,BCHUSDT_Volume,OMUSDT_Close,OMUSDT_Volume,UNIUSDT_Close,UNIUSDT_Volume,PEPEUSDT_Close,PEPEUSDT_Volume,NEARUSDT_Close,NEARUSDT_Volume,AAVEUSDT_Close,AAVEUSDT_Volume,ICPUSDT_Close,ICPUSDT_Volume,APTUSDT_Close,APTUSDT_Volume,TAOUSDT_Close,TAOUSDT_Volume,TRUMPUSDT_Close,TRUMPUSDT_Volume,ETCUSDT_Close,ETCUSDT_Volume,VETUSDT_Close,VETUSDT_Volume,POLUSDT_Close,POLUSDT_Volume,ALGOUSDT_Close,ALGOUSDT_Volume,RENDERUSDT_Close,RENDERUSDT_Volume,JUPUSDT_Close,JUPUSDT_Volume,FILUSDT_Close,FILUSDT_Volume,ARBUSDT_Close,ARBUSDT_Volume,FDUSDUSDT_Close,FDUSDUSDT_Volume
2023-07-01,30585.9,17501.75075,1924.5,178373.3688,0.4732,232549409.0,18.7,3515091.93,247.9,723099.401,1.0002,276555433.0,0.06851,1480878387.0,0.2924,88196474.2,0.07726,198269712.4,6.503,5141414.75,12.99,1571688.38,0.6893,26995655.8,0.1075,71094263.0,,,7.64e-06,2978679966632.0,107.1,2614144.4,0.0507,94994427.0,5.351,4991687.74,291.3,540822.1,0.02352,9207211.0,5.587,2114038.98,1.56e-06,22007250207876.0,1.485,9181005.4,68.14,162143.972,4.222,1005831.34,7.3893,1914496.64,,,,,20.88,3314614.15,0.02049,565574203.0,,,0.128,57890947.0,,,,,4.107,6623940.12,1.1514,40352979.6,,
2023-07-02,30617.03,23286.41019,1937.48,255852.7832,0.4845,337155089.0,19.45,4872775.08,246.5,598172.063,1.0001,147278455.0,0.06801,945225786.0,0.2916,74721548.0,0.07603,191549237.6,6.54,4086985.57,13.13,2019538.49,0.6907,26703763.7,0.1073,54659748.0,,,7.66e-06,2610338964881.0,113.58,2299237.775,0.0501,74072244.0,5.496,4416008.07,299.2,804213.704,0.02305,17459907.0,5.568,1746393.83,1.58e-06,19532222091251.0,1.467,7153954.0,70.69,260804.626,4.196,920969.49,7.3288,2693100.47,,,,,20.38,1718698.93,0.02041,308825122.7,,,0.1236,63449221.0,,,,,4.109,4937993.31,1.1511,36723276.4,,
2023-07-03,31156.2,43761.64311,1955.54,322102.4295,0.489,357020349.0,19.26,3065186.84,246.5,873992.727,0.9999,305813484.0,0.06845,566630919.0,0.2967,71590689.3,0.07731,181572194.7,6.628,3237642.64,13.25,2397430.98,0.7,53810585.1,0.1059,58007606.0,,,7.77e-06,2773900333396.0,107.27,1444586.945,0.0502,110312735.0,5.431,3882932.74,292.2,387646.479,0.0244,64279255.0,5.523,1368982.59,1.84e-06,75874367689918.0,1.456,9063341.7,72.95,262943.749,4.463,2726657.48,7.5138,2531799.27,,,,,20.07,1109320.51,0.02044,291080768.4,,,0.1283,72754360.0,,,,,4.734,28961489.98,1.1694,50849349.9,,
2023-07-04,30766.51,33206.11943,1936.2,205525.0984,0.4872,299439491.0,19.13,3096292.18,242.5,488909.055,0.9998,226391432.0,0.0689,1051878193.0,0.2924,107425650.5,0.07703,212761283.6,6.521,2606479.19,13.04,2120178.89,0.6855,52601686.8,0.1033,38860176.0,,,7.67e-06,3904753499556.0,104.27,935566.37,0.0485,103048746.0,5.348,3200600.98,272.4,273833.464,0.02469,70009816.0,5.507,1796997.64,1.71e-06,40305018777128.0,1.399,6231733.7,77.08,507915.428,4.345,994565.23,7.6759,6446008.99,,,,,19.51,873959.71,0.01985,289223032.2,,,0.1241,41789946.0,,,,,4.546,7988349.41,1.1488,46515719.2,,
2023-07-05,30504.81,33215.67122,1910.36,267633.4783,0.4777,292620010.0,19.0,2415908.51,238.9,520015.694,1.0,287764638.0,0.06701,592363243.0,0.2839,106289740.4,0.07707,215055002.9,6.299,3023680.6,12.67,1996286.11,0.6624,36465148.3,0.1006,44578248.0,,,7.46e-06,3361646209021.0,102.6,1410427.816,0.0472,98585630.0,5.208,2843294.07,272.0,495714.652,0.02355,26097427.0,5.408,1689816.56,1.66e-06,27779597520636.0,1.355,7671474.5,74.6,414643.859,4.243,1170448.54,7.4344,3675331.47,,,,,19.38,905629.35,0.01921,323627969.9,,,0.1198,43157705.0,,,,,4.6,14798522.19,1.1117,43694827.3,,
2023-07-06,29895.43,71319.6261,1846.17,456362.741,0.4622,304125111.0,19.61,9598016.99,232.2,673275.441,1.0,410450934.0,0.06485,620315296.0,0.2784,144527874.2,0.07711,211754465.3,6.08,3733833.93,12.37,2295716.98,0.6495,29123683.3,0.096,55555243.0,,,7.14e-06,3865458902571.0,95.25,1703635.889,0.0461,104375692.0,5.014,2938752.21,275.0,810940.702,0.02333,22947693.0,5.265,1739269.03,1.54e-06,43615963497808.0,1.311,7324684.6,70.25,262193.288,4.054,1058074.28,7.1066,3255330.59,,,,,18.71,1171320.43,0.01834,341773450.1,,,0.113,45290562.0,,,,,4.318,7601823.69,1.0678,52476837.5,,
2023-07-07,30344.7,34070.53895,1870.91,232944.3466,0.4687,230688947.0,21.5,9794096.48,235.6,431534.586,0.9999,284907103.0,0.0654,410024265.0,0.2844,100178705.4,0.07882,222173981.4,6.156,2063365.14,12.74,1501124.31,0.6613,24612864.4,0.0974,39214040.0,,,7.32e-06,2490785090808.0,98.23,866824.098,0.0471,63514851.0,5.119,1988995.87,278.3,399084.967,0.02384,13706409.0,5.478,1810753.09,1.57e-06,26384657903114.0,1.331,6928430.4,74.76,160615.251,4.108,654261.08,7.2245,2229220.37,,,,,19.22,604438.19,0.01866,274914400.5,,,0.1123,41057745.0,,,,,4.403,3671119.91,1.1316,53835791.6,,
2023-07-08,30284.63,13094.59042,1865.24,125819.8273,0.4704,116031881.0,21.81,6473021.26,236.3,259727.721,0.9998,116390474.0,0.06573,278674788.0,0.2907,106202528.4,0.08007,193753636.3,6.196,1286251.86,13.64,4132298.8,0.6527,14277014.3,0.0997,49484015.0,,,7.64e-06,2660259605628.0,97.79,431026.029,0.047,57061155.0,5.128,1200936.94,272.0,219928.773,0.02505,80118132.0,5.251,1273363.88,1.56e-06,10928219541876.0,1.383,8284334.7,73.6,193248.828,4.052,717162.34,7.0575,1929712.08,,,,,19.0,372901.31,0.01881,189977704.8,,,0.1116,30596046.0,,,,,4.338,2769692.72,1.1247,33248410.0,,
2023-07-09,30160.71,15388.50196,1862.8,135046.3743,0.468,80147955.0,21.32,3867361.76,234.1,235123.329,0.9999,104725735.0,0.06536,279080489.0,0.2844,94953544.0,0.07748,234744269.0,6.15,1197225.34,13.58,2882299.75,0.6591,11121767.5,0.099,21724963.0,,,7.74e-06,3451776603442.0,95.08,468670.42,0.0471,47927750.0,5.081,1198821.42,265.6,173195.331,0.02865,453786528.0,5.231,753442.27,1.54e-06,8991585695705.0,1.327,5650496.7,71.84,159888.146,4.033,442394.05,7.0922,1437897.37,,,,,18.63,263174.34,0.01858,156915648.0,,,0.1105,29895328.0,,,,,4.335,2997736.67,1.1245,37628437.3,,
2023-07-10,30411.57,41262.87652,1880.4,247868.1494,0.478,334545737.0,21.3,5671089.94,246.2,1193826.524,0.9999,369833699.0,0.06523,616363367.0,0.2878,122097011.3,0.07754,235765842.1,6.167,2162467.25,13.39,2544390.52,0.6551,25050776.8,0.0999,36330347.0,,,7.54e-06,3074107278456.0,96.72,1108435.576,0.0475,82053419.0,5.131,2539022.61,274.7,371744.555,0.02643,155596243.0,5.238,1391891.72,1.51e-06,28865556902901.0,1.332,5108028.5,69.32,159844.475,4.074,1142146.49,7.0921,2577142.28,,,,,18.96,673390.16,0.01868,271013627.7,,,0.11,48499249.0,,,,,4.321,5262818.34,1.1193,40698798.9,,
